LATITUDE,LONGITUDE,index
0.0,0.0,1
70.9333333,-8.6666667,2
59.791925,5.34085,3
59.98,2.25,4
77.0,15.5,5
78.9166666,11.9333333,6
78.246111,15.465556,7
69.2925,16.144167,8
69.6,17.8333333,9
69.055758,18.540356,10
64.35,7.8,11
69.683333,18.918919,12
69.65,18.9333333,13
74.5166667,19.0166667,14
70.25,19.5,15
69.3833333,20.2833333,16
70.486675,22.139744,17
69.786839,20.959444,18
69.0166667,23.0666667,19
69.976111,23.371667,20
70.6833333,23.6833333,21
71.1,23.9833333,22
69.5666666,23.5333333,23
70.068814,24.973489,24
76.5,25.0666667,25
71.0166667,25.9833333,26
71.0333333,27.8333333,27
70.4,28.2,28
71.1,28.2333333,29
70.8666667,29.0333333,30
70.600256,29.692678,31
70.0666667,29.85,32
62.578411,11.342347,33
59.185,9.566944,34
69.725611,29.893011,35
70.7,30.0833333,36
70.3666666,31.1,37
70.355392,31.044889,38
65.2,11.0,39
65.3333333,7.3166667,40
67.5166666,12.1,41
67.5166667,12.1,42
65.461111,12.2175,43
66.8,13.9833333,44
66.7666666,12.4833333,45
65.95,12.4666666,46
66.3666666,12.6166666,47
65.783997,13.214914,48
68.15,13.6166667,49
67.4,13.8833333,50
66.3666666,14.3,51
67.269167,14.365278,52
68.6,14.4333333,53
68.15,14.65,54
68.25,14.6666667,55
68.5833333,15.0166667,56
68.7,15.4166666,57
68.8,16.5333333,58
68.4913,16.678108,59
68.4666667,17.5,60
68.75,23.5333333,61
62.0333333,4.9833333,62
62.3333333,5.2666666,63
62.1,5.5833333,64
62.1833333,6.0666667,65
62.560372,6.110164,66
62.8666666,6.5333333,67
62.744722,7.2625,68
62.2333333,7.4166666,69
63.111781,7.824522,70
63.5166666,7.95,71
62.8333333,8.3,72
63.85,8.4666666,73
62.2333333,8.3666666,74
62.1166666,9.2833333,75
64.1666666,9.4,76
63.698908,9.604003,77
62.6,9.6666666,78
62.8166666,10.0166666,79
63.4166666,10.45,80
64.4,10.45,81
64.8,10.55,82
62.2666666,10.7333333,83
63.457556,10.939872,84
63.2,11.1166666,85
64.0166666,11.45,86
63.7833333,11.6833333,87
64.1333333,11.3333333,88
64.85,11.2333333,89
62.5666666,11.3833333,90
64.4666667,11.5833333,91
63.4166666,11.7333333,92
64.55,12.15,93
61.2,2.2666666,94
61.5666666,4.6833333,95
60.75,4.7166666,96
61.583611,5.024722,97
60.293386,5.218142,98
60.3833333,5.3333333,99
61.8333333,6.1166667,100
61.9,6.55,101
61.392503,5.764167,102
60.35,6.2666666,103
60.6333333,6.4333333,104
61.1666666,6.65,105
60.42,7.28,106
60.4666666,6.8666666,107
61.156111,7.136614,108
60.6,7.5333333,109
61.9,7.9,110
61.1833333,8.1166666,111
61.5666666,8.0,112
60.9833333,9.2166666,113
61.015556,9.288056,114
60.5666666,9.1333333,115
60.9333333,10.0333333,116
61.4666666,10.1333333,117
61.0333333,2.0333333,118
61.1,10.4666666,119
61.65,10.1166666,120
61.4,11.0802778,121
60.193917,11.100361,122
61.1833333,11.3666666,123
60.6166666,12.0166666,124
61.8833333,12.0333333,125
61.3,12.2666666,126
56.55,3.2166666,127
59.9833333,2.25,128
59.3,4.8666666,129
56.55,3.25,130
59.9166666,5.0666666,131
59.345267,5.208364,132
59.0666666,5.4166666,133
58.65,5.5666666,134
58.876667,5.637778,135
59.65,6.3666666,136
58.5166666,6.5166666,137
58.1166666,6.5666666,138
58.099486,6.62605,139
58.8833333,6.85,140
59.8333333,6.9833333,141
59.7666666,7.3666666,142
57.9833333,7.05,143
59.5833333,7.3833333,144
58.6666666,7.8,145
58.0666666,8.05,146
58.204214,8.085369,147
59.0333333,8.5166666,148
58.4,8.7833333,149
58.6333333,9.15,150
60.1666666,10.25,151
59.3833333,9.2,152
59.565683,9.212222,153
59.6166666,9.6333333,154
59.9,9.5333333,155
58.85,9.55,156
59.75,10.1333333,157
59.2333333,10.35,158
59.0333333,10.5166666,159
59.186703,10.258628,160
59.3166667,10.45,161
59.9833333,10.6833333,162
59.95,10.7166666,163
59.378889,10.785556,164
59.15,10.8333333,165
59.8166666,11.4833333,166
56.082779,13.2125,167
67.7333333,17.4666666,168
68.4166666,18.1666666,169
67.5,18.3,170
67.9166666,18.6,171
68.0666666,19.8333333,172
67.85,19.0333333,173
67.25,20.2666666,174
67.821986,20.336764,175
67.132408,20.814636,176
68.05,21.75,177
68.6833333,21.5333333,178
67.3333333,22.2333333,179
67.7333333,22.8333333,180
68.45,22.45,181
67.2166666,23.4,182
65.806111,15.082778,183
65.1,14.5166666,184
65.7833333,15.0666666,185
65.3333333,15.0666666,186
66.8833333,18.0166666,187
64.95,17.7,188
66.6833333,16.1166666,189
66.05,17.8333333,190
65.0,17.7,191
66.4833333,16.4166666,192
65.5666666,17.8666666,193
66.3166667,19.2166667,194
66.5,19.6833333,195
65.15,18.6,196
65.6,19.2666666,197
66.4833333,20.1666666,198
65.875325,20.149917,199
65.12,20.77,200
66.75,20.9333333,201
65.8166666,21.6333333,202
